nodeSn,timestamp,day/month/year,hours:minutes:seconds,address,last_sync
Wrelay4x0001,1514994189,3/1/2018,16:43:9,027,onos_system_started
Wrelay4x0001,1514998920,3/1/2018,18:2:0,027,onos_system_started
Wrelay4x0001,1514998942,3/1/2018,18:2:22,027,onos_system_started
Wrelay4x0001,1517607171,2/2/2018,22:32:51,027,onos_system_started
Wrelay4x0001,1525557703,6/5/2018,0:1:43,027,+++onos_system_started1+++
Wrelay4x0001,1525558041,6/5/2018,0:7:21,027,+++onos_system_started1+++
Wrelay4x0001,1525558193,6/5/2018,0:9:53,027,+++onos_system_started1+++
Wrelay4x0001,1525558605,6/5/2018,0:16:45,027,+++onos_system_started1+++
Wrelay4x0001,1525558716,6/5/2018,0:18:36,027,+++onos_system_started1+++
Wrelay4x0001,1525609099,6/5/2018,14:18:19,027,+++onos_system_started1+++
Wrelay4x0001,1525609480,6/5/2018,14:24:40,027,+++onos_system_started1+++
Wrelay4x0001,1525609526,6/5/2018,14:25:26,027,+++onos_system_started1+++
Wrelay4x0001,1525609631,6/5/2018,14:27:11,027,+++onos_system_started1+++
Wrelay4x0001,1525610005,6/5/2018,14:33:25,027,+++onos_system_started1+++
Wrelay4x0001,1525610062,6/5/2018,14:34:22,027,+++onos_system_started1+++
Wrelay4x0001,1525610169,6/5/2018,14:36:9,027,+++onos_system_started1+++
Wrelay4x0001,1525610225,6/5/2018,14:37:5,027,+++onos_system_started1+++
Wrelay4x0001,1525610906,6/5/2018,14:48:26,027,+++onos_system_started1+++
Wrelay4x0001,1525611368,6/5/2018,14:56:8,027,+++onos_system_started1+++
Wrelay4x0001,1525611412,6/5/2018,14:56:52,027,+++onos_system_started1+++
Wrelay4x0001,1525611512,6/5/2018,14:58:32,027,+++onos_system_started1+++
Wrelay4x0001,1525611630,6/5/2018,15:0:30,027,+++onos_system_started1+++
Wrelay4x0001,1525611700,6/5/2018,15:1:40,027,+++onos_system_started1+++
Wrelay4x0001,1525611824,6/5/2018,15:3:44,027,+++onos_system_started1+++
Wrelay4x0001,1525616119,6/5/2018,16:15:19,027,+++onos_system_started1+++
Wrelay4x0001,1525616172,6/5/2018,16:16:12,027,+++onos_system_started1+++
Wrelay4x0001,1525618060,6/5/2018,16:47:40,027,+++onos_system_started1+++
Wrelay4x0001,1527539523,28/5/2018,22:32:3,027,+++onos_system_started1+++
Wrelay4x0001,1540852828,29/10/2018,23:40:28,027,+++onos_system_started1+++
Wrelay4x0001,1540853218,29/10/2018,23:46:58,027,+++onos_system_started1+++
Wrelay4x0001,1540853241,29/10/2018,23:47:21,027,+++onos_system_started1+++
Wrelay4x0001,1540853266,29/10/2018,23:47:46,027,+++onos_system_started1+++
Wrelay4x0001,1540853288,29/10/2018,23:48:8,027,+++onos_system_started1+++
Wrelay4x0001,1540853314,29/10/2018,23:48:34,027,+++onos_system_started1+++
Wrelay4x0001,1540853434,29/10/2018,23:50:34,027,+++onos_system_started1+++
Wrelay4x0001,1540853505,29/10/2018,23:51:45,027,+++onos_system_started1+++
Wrelay4x0001,1540853573,29/10/2018,23:52:53,027,+++onos_system_started1+++
Wrelay4x0001,1540853634,29/10/2018,23:53:54,027,+++onos_system_started1+++
Wrelay4x0001,1540853678,29/10/2018,23:54:38,027,+++onos_system_started1+++
Wrelay4x0001,1540853704,29/10/2018,23:55:4,027,+++onos_system_started1+++
Wrelay4x0001,1540853850,29/10/2018,23:57:30,027,+++onos_system_started1+++
Wrelay4x0001,1540853878,29/10/2018,23:57:58,027,+++onos_system_started1+++
Wrelay4x0001,1540853964,29/10/2018,23:59:24,027,+++onos_system_started1+++
Wrelay4x0001,1540854119,30/10/2018,0:1:59,027,+++onos_system_started1+++
Wrelay4x0001,1540854211,30/10/2018,0:3:31,027,+++onos_system_started1+++
Wrelay4x0001,1540854303,30/10/2018,0:5:3,027,+++onos_system_started1+++
Wrelay4x0001,1540854367,30/10/2018,0:6:7,027,+++onos_system_started1+++
Wrelay4x0001,1540854723,30/10/2018,0:12:3,027,+++onos_system_started1+++
Wrelay4x0001,1540854772,30/10/2018,0:12:52,027,+++onos_system_started1+++
Wrelay4x0001,1540854861,30/10/2018,0:14:21,027,+++onos_system_started1+++
Wrelay4x0001,1540855070,30/10/2018,0:17:50,027,+++onos_system_started1+++
Wrelay4x0001,1540855106,30/10/2018,0:18:26,027,+++onos_system_started1+++
Wrelay4x0001,1540855215,30/10/2018,0:20:15,027,+++onos_system_started1+++
Wrelay4x0001,1540855260,30/10/2018,0:21:0,027,+++onos_system_started1+++
Wrelay4x0001,1540855357,30/10/2018,0:22:37,027,+++onos_system_started1+++
Wrelay4x0001,1540855451,30/10/2018,0:24:11,027,+++onos_system_started1+++
Wrelay4x0001,1540855471,30/10/2018,0:24:31,027,+++onos_system_started1+++
Wrelay4x0001,1540855554,30/10/2018,0:25:54,027,+++onos_system_started1+++
Wrelay4x0001,1540855611,30/10/2018,0:26:51,027,+++onos_system_started1+++
Wrelay4x0001,1540855678,30/10/2018,0:27:58,027,+++onos_system_started1+++
Wrelay4x0001,1540855710,30/10/2018,0:28:30,027,+++onos_system_started1+++
Wrelay4x0001,1540855758,30/10/2018,0:29:18,027,+++onos_system_started1+++
Wrelay4x0001,1540855965,30/10/2018,0:32:45,027,+++onos_system_started1+++
Wrelay4x0001,1540856002,30/10/2018,0:33:22,027,+++onos_system_started1+++
Wrelay4x0001,1540856020,30/10/2018,0:33:40,027,+++onos_system_started1+++
Wrelay4x0001,1540856059,30/10/2018,0:34:19,027,+++onos_system_started1+++
Wrelay4x0001,1540856146,30/10/2018,0:35:46,027,+++onos_system_started1+++
Wrelay4x0001,1540856157,30/10/2018,0:35:57,027,+++onos_system_started1+++
Wrelay4x0001,1540856243,30/10/2018,0:37:23,027,+++onos_system_started1+++
Wrelay4x0001,1540856299,30/10/2018,0:38:19,027,+++onos_system_started1+++
Wrelay4x0001,1540857709,30/10/2018,1:1:49,027,+++onos_system_started1+++
Wrelay4x0001,1540857780,30/10/2018,1:3:0,027,+++onos_system_started1+++
Wrelay4x0001,1540857912,30/10/2018,1:5:12,027,+++onos_system_started1+++
Wrelay4x0001,1540858269,30/10/2018,1:11:9,027,+++onos_system_started1+++
Wrelay4x0001,1540858297,30/10/2018,1:11:37,027,+++onos_system_started1+++
Wrelay4x0001,1540858358,30/10/2018,1:12:38,027,+++onos_system_started1+++
