nodeSn,node_fw,timestamp,day/month/year,hours:minutes:seconds,address,last_sync,still_same_address
ZigXiaomiWeat444618a,0,1588533834,3/5/2020,21:23:54,999,0.0,same
ZigXiaomiWeat444618a,0,1588533834,3/5/2020,21:23:54,999,0.0,same
ZigXiaomiWeat444618a,0,1588533844,3/5/2020,21:24:4,999,10.2,same
ZigXiaomiWeat444618a,0,1588533844,3/5/2020,21:24:4,999,0.0,same
ZigXiaomiWeat444618a,0,1588533844,3/5/2020,21:24:4,999,0.0,same
ZigXiaomiWeat444618a,0,1588533855,3/5/2020,21:24:15,999,10.3,same
ZigXiaomiWeat444618a,0,1588533855,3/5/2020,21:24:15,999,0.0,same
ZigXiaomiWeat444618a,0,1588533855,3/5/2020,21:24:15,999,0.0,same
ZigXiaomiWeat444618a,0,1588533875,3/5/2020,21:24:35,999,20.3,same
ZigXiaomiWeat444618a,0,1588533875,3/5/2020,21:24:35,999,0.0,same
ZigXiaomiWeat444618a,0,1588533875,3/5/2020,21:24:35,999,0.0,same
ZigXiaomiWeat444618a,0,1588533885,3/5/2020,21:24:45,999,10.2,same
ZigXiaomiWeat444618a,0,1588533885,3/5/2020,21:24:45,999,0.0,same
ZigXiaomiWeat444618a,0,1588533885,3/5/2020,21:24:45,999,0.0,same
ZigXiaomiWeat444618a,0,1588533895,3/5/2020,21:24:55,999,10.3,same
ZigXiaomiWeat444618a,0,1588533895,3/5/2020,21:24:55,999,0.0,same
ZigXiaomiWeat444618a,0,1588533895,3/5/2020,21:24:55,999,0.0,same
ZigXiaomiWeat444618a,0,1588533926,3/5/2020,21:25:26,999,30.3,same
ZigXiaomiWeat444618a,0,1588533926,3/5/2020,21:25:26,999,0.0,same
ZigXiaomiWeat444618a,0,1588533926,3/5/2020,21:25:26,999,0.0,same
ZigXiaomiWeat444618a,1588534234,3/5/2020,21:30:34,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1588535016,3/5/2020,21:43:36,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1588535047,3/5/2020,21:44:7,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1588535075,3/5/2020,21:44:35,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1588535138,3/5/2020,21:45:38,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,0,1588535200,3/5/2020,21:46:40,999,1588435201.4,same
ZigXiaomiWeat444618a,0,1588535200,3/5/2020,21:46:40,999,0.0,same
ZigXiaomiWeat444618a,0,1588535200,3/5/2020,21:46:40,999,0.0,same
ZigXiaomiWeat444618a,0,1588535200,3/5/2020,21:46:40,999,0.0,same
ZigXiaomiWeat444618a,1592121165,14/6/2020,9:52:45,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1592121221,14/6/2020,9:53:41,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1592121307,14/6/2020,9:55:7,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1592121469,14/6/2020,9:57:49,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1592121621,14/6/2020,10:0:21,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1592121762,14/6/2020,10:2:42,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1592121804,14/6/2020,10:3:24,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,1592122903,14/6/2020,10:21:43,999,+++onos_system_started1+++
ZigXiaomiWeat444618a,0,1592123723,14/6/2020,10:35:23,999,1592023724.5,same
ZigXiaomiWeat444618a,0,1592123723,14/6/2020,10:35:23,999,0.0,same
ZigXiaomiWeat444618a,0,1592123844,14/6/2020,10:37:24,999,121.1,same
ZigXiaomiWeat444618a,0,1592123844,14/6/2020,10:37:24,999,0.0,same
ZigXiaomiWeat444618a,0,1592123844,14/6/2020,10:37:24,999,0.0,same
ZigXiaomiWeat444618a,0,1592125469,14/6/2020,11:4:29,999,1624.8,same
ZigXiaomiWeat444618a,0,1592125469,14/6/2020,11:4:29,999,0.0,same
ZigXiaomiWeat444618a,0,1592125469,14/6/2020,11:4:29,999,0.1,same
ZigXiaomiWeat444618a,0,1592126622,14/6/2020,11:23:42,999,1153.3,same
ZigXiaomiWeat444618a,0,1592126622,14/6/2020,11:23:42,999,0.0,same
ZigXiaomiWeat444618a,0,1592126622,14/6/2020,11:23:42,999,0.0,same
ZigXiaomiWeat444618a,0,1592126973,14/6/2020,11:29:33,999,351.1,same
ZigXiaomiWeat444618a,0,1592129030,14/6/2020,12:3:50,999,2056.6,same
ZigXiaomiWeat444618a,0,1592129030,14/6/2020,12:3:50,999,0.0,same
ZigXiaomiWeat444618a,0,1592129030,14/6/2020,12:3:50,999,0.0,same
ZigXiaomiWeat444618a,1592138951,14/6/2020,14:49:11,999,+++onos_system_started1+++
