1,1508009245,14/10/2017,21:27:25,21,5,onos_node
0,1508009291,14/10/2017,21:28:11,21,5,onos_node
1,1508009294,14/10/2017,21:28:14,21,5,onos_node
0,1508009303,14/10/2017,21:28:23,21,5,onos_node
1,1508009319,14/10/2017,21:28:39,21,5,nobody
0,1508009319,14/10/2017,21:28:39,21,5,nobody
1,1508009320,14/10/2017,21:28:40,21,5,nobody
0,1508009321,14/10/2017,21:28:41,21,5,nobody
1,1508009322,14/10/2017,21:28:42,21,5,nobody
0,1508009323,14/10/2017,21:28:43,21,5,nobody
1,1508009327,14/10/2017,21:28:47,21,5,nobody
0,1508009328,14/10/2017,21:28:48,21,5,nobody
1,1508009541,14/10/2017,21:32:21,21,5,nobody
0,1508009547,14/10/2017,21:32:27,21,5,nobody
1,1508009548,14/10/2017,21:32:28,21,5,nobody
0,1508009565,14/10/2017,21:32:45,21,5,nobody
0,1508009566,14/10/2017,21:32:46,21,5,nobody
1,1508009568,14/10/2017,21:32:48,21,5,nobody
1,1508062914,15/10/2017,12:21:54,12,6,onos_node
0,1508062927,15/10/2017,12:22:7,12,6,nobody
1,1508062928,15/10/2017,12:22:8,12,6,nobody
0,1508062929,15/10/2017,12:22:9,12,6,nobody
