statusToSet,timestamp,day/month/year,hours:minutes:seconds,hours,day_of_week,user
1,1588533495,3/5/2020,21:18:15,21,6,onos_node
0,1588533507,3/5/2020,21:18:27,21,6,onos_node
1,1588533511,3/5/2020,21:18:31,21,6,onos_node
0,1588533512,3/5/2020,21:18:32,21,6,onos_node
1,1588533529,3/5/2020,21:18:49,21,6,onos_node
0,1588533532,3/5/2020,21:18:52,21,6,onos_node
1,1588533541,3/5/2020,21:19:1,21,6,onos_node
0,1588533543,3/5/2020,21:19:3,21,6,onos_node
1,1588533559,3/5/2020,21:19:19,21,6,onos_node
0,1588533559,3/5/2020,21:19:19,21,6,onos_node
1,1588533559,3/5/2020,21:19:19,21,6,onos_node
0,1588533561,3/5/2020,21:19:21,21,6,onos_node
1,1588533567,3/5/2020,21:19:27,21,6,onos_node
0,1588533568,3/5/2020,21:19:28,21,6,onos_node
1,1588533569,3/5/2020,21:19:29,21,6,onos_node
0,1588533571,3/5/2020,21:19:31,21,6,onos_node
1,1588533573,3/5/2020,21:19:33,21,6,onos_node
0,1588533577,3/5/2020,21:19:37,21,6,onos_node
1,1588533581,3/5/2020,21:19:41,21,6,onos_node
0,1588533582,3/5/2020,21:19:42,21,6,onos_node
1,1588533591,3/5/2020,21:19:51,21,6,onos_node
0,1588533594,3/5/2020,21:19:54,21,6,onos_node
1,1588533595,3/5/2020,21:19:55,21,6,onos_node
0,1588533598,3/5/2020,21:19:58,21,6,onos_node
1,1588533598,3/5/2020,21:19:58,21,6,onos_node
0,1588533599,3/5/2020,21:19:59,21,6,onos_node
1,1588533599,3/5/2020,21:19:59,21,6,onos_node
0,1588533599,3/5/2020,21:19:59,21,6,onos_node
1,1588533604,3/5/2020,21:20:4,21,6,onos_node
0,1588533632,3/5/2020,21:20:32,21,6,onos_node
1,1588533639,3/5/2020,21:20:39,21,6,onos_node
0,1588533745,3/5/2020,21:22:25,21,6,onos_node
1,1588533755,3/5/2020,21:22:35,21,6,onos_node
+++onos_system_started0+++,1588533802,3/5/2020,21:23:22,21,6,+++onos_system_started0+++
1,1588533811,3/5/2020,21:23:31,21,6,onos_node
0,1588533816,3/5/2020,21:23:36,21,6,onos_node
1,1588533824,3/5/2020,21:23:44,21,6,onos_node
0,1588533824,3/5/2020,21:23:44,21,6,onos_node
1,1588533825,3/5/2020,21:23:45,21,6,onos_node
+++onos_system_started0+++,1588534234,3/5/2020,21:30:34,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535016,3/5/2020,21:43:36,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535047,3/5/2020,21:44:7,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535075,3/5/2020,21:44:35,21,6,+++onos_system_started0+++
+++onos_system_started0+++,1588535138,3/5/2020,21:45:38,21,6,+++onos_system_started0+++
